,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta
825,805108,139200,MANHATTAN,105,MORTON STREET,10014.0,8,0,0,0,2020-12-14T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.731204,-74.009367,2,3,69,1083173.0,1006030001.0,West Village
826,26618,136641,MANHATTAN,459,PARK AVENUE SOUTH,10016.0,9,0,0,0,2021-06-11T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.745084,-73.982786,5,2,72,1018347.0,1008860087.0,Murray Hill-Kips Bay
827,139561,322085,BROOKLYN,154,14 STREET,11215.0,6,0,0,0,2023-02-06T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.667973,-73.992567,6,39,117,3023606.0,3010400022.0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
828,991661,388746,BROOKLYN,33,TROUTMAN STREET,11206.0,9,0,0,0,2023-07-05T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.698182,-73.932503,4,34,391,3426458.0,3031710068.0,Bushwick (West)
829,646397,407091,QUEENS,1821,CORNELIA STREET,11385.0,6,0,0,0,2021-03-18T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.701461,-73.904326,5,34,551,4082801.0,4034630042.0,Ridgewood
830,139946,317708,BROOKLYN,4508,15 AVENUE,11219.0,3,0,0,0,2022-03-17T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.634497,-73.985509,12,44,232,3136777.0,3056180041.0,Borough Park
831,833761,378440,BROOKLYN,10849,SEAVIEW AVENUE,11236.0,5,0,0,0,2019-12-30T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.639237,-73.881312,18,46,1018,3344344.0,3082737501.0,Canarsie
832,320757,320568,BROOKLYN,245,KINGSLAND AVENUE,11222.0,6,0,0,0,2019-01-23T00:00:00.000,2017-11-01T00:00:00.000,2018-11-30T00:00:00.000,40.724866,-73.941532,1,33,591,3067126.0,3026880022.0,Greenpoint
833,101908,218579,BRONX,2743,PAULDING AVENUE,10469.0,3,0,0,0,2023-09-18T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.866164,-73.858664,11,13,342,2102780.0,2045170048.0,Allerton
834,60306,202327,BRONX,345,CYPRESS AVENUE,10454.0,40,0,0,0,2021-05-18T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.808376,-73.913004,1,8,33,2003662.0,2025540049.0,Mott Haven-Port Morris
835,26781,610685,MANHATTAN,166,PERRY STREET,10014.0,19,0,0,0,2019-12-31T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.734668,-74.009414,2,3,75,1011994.0,1006377508.0,West Village
836,837315,379506,BROOKLYN,135,OCEANA DRIVE EAST,11235.0,54,0,0,0,2021-12-21T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.576553,-73.957296,13,48,61002,3387621.0,3087207509.0,Brighton Beach
837,341486,303430,BROOKLYN,206,NASSAU AVENUE,11222.0,7,0,0,0,2019-03-20T00:00:00.000,2017-11-01T00:00:00.000,2018-11-30T00:00:00.000,40.725595,-73.944638,1,33,591,3067045.0,3026860008.0,Greenpoint
838,46644,200815,BRONX,2605,BAINBRIDGE AVENUE,10458.0,11,1,1,0,2023-06-30T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.86423,-73.892353,7,15,39901,2016800.0,2032930056.0,University Heights (North)-Fordham
839,52670,206945,BRONX,205,BROOK AVENUE,10454.0,40,0,0,0,2021-08-13T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.806685,-73.919873,1,8,25,2000028.0,2022640012.0,Mott Haven-Port Morris
840,192900,373776,BROOKLYN,353,AVENUE O,11230.0,3,0,0,0,2023-07-07T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.611639,-73.971125,12,44,440,3173673.0,3065850053.0,Mapleton-Midwood (West)
841,347255,300232,BROOKLYN,1641,OCEAN AVENUE,11230.0,113,0,113,0,2020-12-21T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.622056,-73.955689,14,45,760,3208315.0,3076200014.0,Midwood
842,973535,227611,BRONX,463,EAST 147 STREET,10455.0,55,1,1,0,2021-02-04T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.81392,-73.916603,1,8,43,2129097.0,2022927501.0,Mott Haven-Port Morris
843,812374,501012,STATEN ISLAND,17,BENTON COURT,10306.0,5,0,0,0,2023-06-29T00:00:00.000,2021-11-01T00:00:00.000,2022-10-31T00:00:00.000,40.558002,-74.136092,3,51,13204,5105399.0,5050150016.0,Oakwood-Richmondtown
844,118509,205361,BRONX,1796,VYSE AVENUE,10460.0,53,0,0,0,2021-12-27T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.837583,-73.885472,3,17,161,2010807.0,2029980014.0,Crotona Park East
845,1709,137589,MANHATTAN,1270,3 AVENUE,10021.0,117,0,0,0,2020-12-09T00:00:00.000,2019-11-01T00:00:00.000,2020-10-31T00:00:00.000,40.770533,-73.960049,8,4,128,1043046.0,1014080033.0,Upper East Side-Carnegie Hill
846,386148,304826,BROOKLYN,567,VANDERBILT AVENUE,11238.0,7,0,0,0,2022-03-17T00:00:00.000,2020-11-01T00:00:00.000,2021-10-31T00:00:00.000,40.680781,-73.967732,8,35,203,3027659.0,3011300009.0,Prospect Heights
847,933595,143394,MANHATTAN,2,JONES STREET,10014.0,7,0,0,0,2019-12-20T00:00:00.000,2018-11-01T00:00:00.000,2019-10-31T00:00:00.000,40.732226,-74.001905,2,3,67,1080167.0,1005900028.0,West Village
