Unnamed: 0,building_id,registration_id,borough,house_number,street_name,postcode,of_dwelling_units,infested_dwelling_unit_count,eradicated_unit_count,re_infested_dwelling_unit,filing_date,filing_period_start_date,filling_period_end_date,latitude,longitude,community_board,city_council_district,census_tract_2010,bin,bbl,nta,Year,Quarter,Month,Day,Season,Weekday,Is_Weekend,percent of units infested
438,83024,216280,BRONX,1474,HAMMERSLEY AVENUE,10469.0,2,0,2,0,2021-03-14,2019-11-01,2020-10-31,40.871015,-73.844224,12,12,358,2061774.0,2047620038.0,Eastchester-Edenwald-Baychester,2021,1,3,14,Spring,6,Weekend,0.0
439,316467,340858,BROOKLYN,101,JAVA STREET,11222.0,8,0,0,0,2021-04-29,2019-11-01,2020-10-31,40.731413,-73.956699,1,33,565,3064459.0,3025400070.0,Greenpoint,2021,2,4,29,Spring,3,Weekday,0.0
440,808635,327812,BROOKLYN,5445,KINGS HIGHWAY,11203.0,16,0,0,0,2019-01-24,2017-11-01,2018-11-30,40.642016999999996,-73.925415,17,45,94401,3321119.0,3079300001.0,Flatlands,2019,1,1,24,Winter,3,Weekday,0.0
441,212343,332147,BROOKLYN,3052,BRIGHTON 3 STREET,11235.0,3,0,0,0,2021-05-10,2019-11-01,2020-10-31,40.577796,-73.964484,13,48,362,3244748.0,3086720086.0,Brighton Beach,2021,2,5,10,Spring,0,Weekday,0.0
442,103354,221183,BRONX,1968,PILGRIM AVENUE,10461.0,3,0,0,0,2022-03-01,2020-11-01,2021-10-31,40.851296999999995,-73.832902,10,13,300,2047276.0,2042330024.0,Pelham Bay-Country Club-City Island,2022,1,3,1,Spring,1,Weekday,0.0
443,142350,326013,BROOKLYN,8784,17 AVENUE,11214.0,3,0,0,0,2021-06-30,2019-11-01,2020-10-31,40.604813,-74.00880500000001,11,47,174,3168523.0,3064320043.0,Bath Beach,2021,2,6,30,Summer,2,Weekday,0.0
444,190610,301106,BROOKLYN,3801,AVENUE L,11210.0,31,0,0,0,2021-07-23,2019-11-01,2020-10-31,40.622855,-73.93823499999999,18,45,738,3217001.0,3078100019.0,Flatlands,2021,3,7,23,Summer,4,Weekday,0.0
445,98098,208940,BRONX,220,MT HOPE PLACE,10457.0,32,0,0,0,2019-12-18,2018-11-01,2019-10-31,40.848259000000006,-73.905387,5,15,23302,2007556.0,2028020014.0,Mount Hope,2019,4,12,18,Winter,2,Weekday,0.0
446,4422,139725,MANHATTAN,20,HORATIO STREET,10014.0,6,0,0,0,2022-03-08,2020-11-01,2021-10-31,40.738744,-74.003912,2,3,77,1011658.0,1006260040.0,West Village,2022,1,3,8,Spring,1,Weekday,0.0
447,213579,310150,BROOKLYN,693,BRISTOL STREET,11236.0,4,0,0,0,2021-04-16,2019-11-01,2020-10-31,40.6537,-73.908564,16,42,922,3083066.0,3036420019.0,Brownsville,2021,2,4,16,Spring,4,Weekday,0.0
448,356942,322769,BROOKLYN,1846,PROSPECT PLACE,11233.0,3,0,0,0,2021-02-10,2019-11-01,2020-10-31,40.672408000000004,-73.915305,16,41,363,3039320.0,3014640026.0,Ocean Hill,2021,1,2,10,Winter,2,Weekday,0.0
449,393544,311241,BROOKLYN,2135,WEST 11 STREET,11223.0,3,0,0,0,2021-06-11,2019-11-01,2020-10-31,40.595188,-73.982046,15,43,402,3192301.0,3071160041.0,Gravesend (West),2021,2,6,11,Summer,4,Weekday,0.0
451,2978,115944,MANHATTAN,927,5 AVENUE,10021.0,12,0,0,0,2019-02-25,2017-11-01,2018-11-30,40.773526000000004,-73.96624200000001,8,4,130,1041523.0,1013880068.0,Upper East Side-Carnegie Hill,2019,1,2,25,Winter,0,Weekday,0.0
